Rank,Score,Num1,Num2,Num3,Num4,Num5,Sum,Even,Odd,Seq2,Seq3,Mod,Dup1,Dup2,Dup3,RankScore,Mean,Median
47,67.0,9,15,18,26,35,103,2,3,0,0,1,0,0,1,40.0,20.6,18.0
48,67.0,7,15,19,24,32,97,2,3,0,0,0,0,0,1,40.0,19.4,19.0
49,67.0,1,13,24,27,32,97,2,3,0,0,0,0,0,0,40.0,19.4,24.0
50,67.0,8,11,17,20,41,97,2,3,0,0,1,0,1,1,40.0,19.4,17.0
51,67.0,5,11,16,29,36,97,2,3,0,0,1,1,2,3,40.0,19.4,16.0
52,67.0,7,12,21,24,39,103,2,3,0,0,0,0,0,1,40.0,20.6,21.0
53,67.0,5,11,19,28,40,103,2,3,0,0,0,1,2,2,40.0,20.6,19.0
54,67.0,4,7,15,30,41,97,2,3,0,0,0,0,1,2,40.0,19.4,15.0
55,67.0,7,13,20,28,35,103,2,3,0,0,0,0,0,1,40.0,20.6,20.0
56,67.0,8,11,21,25,32,97,2,3,0,0,1,1,2,2,40.0,19.4,21.0
57,67.0,5,13,18,25,36,97,2,3,0,0,1,1,1,1,40.0,19.4,18.0
58,67.0,3,7,18,29,40,97,2,3,0,0,0,1,1,3,40.0,19.4,18.0
59,67.0,3,13,20,29,38,103,2,3,0,0,1,0,0,1,40.0,20.6,20.0
60,67.0,3,10,25,27,38,103,2,3,0,0,0,1,1,2,40.0,20.6,25.0
61,67.0,1,6,17,37,42,103,2,3,0,0,1,0,0,1,40.0,20.6,17.0
62,67.0,3,6,11,37,40,97,2,3,0,0,0,1,2,2,40.0,19.4,11.0
63,67.0,8,12,17,23,37,97,2,3,0,0,1,0,1,1,40.0,19.4,17.0
64,67.0,1,10,18,29,39,97,2,3,0,0,1,0,0,2,40.0,19.4,18.0
65,67.0,3,11,21,28,34,97,2,3,0,0,1,0,1,1,40.0,19.4,21.0
66,67.0,9,14,19,23,32,97,2,3,0,0,1,0,1,2,40.0,19.4,19.0
67,67.0,7,15,17,22,36,97,2,3,0,0,1,1,1,2,40.0,19.4,17.0
68,66.5,1,5,10,38,42,96,3,2,0,0,0,0,0,2,40.0,19.2,10.0
69,66.5,8,11,18,26,33,96,3,2,0,0,1,0,1,1,40.0,19.2,18.0
70,66.5,1,9,20,32,42,104,3,2,0,0,1,0,0,2,40.0,20.8,20.0
71,66.5,7,14,18,26,31,96,3,2,0,0,0,1,1,2,40.0,19.2,18.0
72,66.5,1,12,20,24,39,96,3,2,0,0,0,0,0,0,40.0,19.2,20.0
73,66.5,2,18,23,27,34,104,3,2,0,0,0,0,1,1,40.0,20.8,23.0
74,66.5,5,7,18,32,42,104,3,2,0,0,1,0,0,2,40.0,20.8,18.0
75,66.5,5,12,18,24,37,96,3,2,0,0,0,0,0,0,40.0,19.2,18.0
76,66.5,2,12,23,31,36,104,3,2,0,0,1,1,2,2,40.0,20.8,23.0
77,66.5,4,10,21,33,36,104,3,2,0,0,0,0,0,1,40.0,20.8,21.0
78,66.5,8,12,21,30,33,104,3,2,0,0,0,0,1,1,40.0,20.8,21.0
79,66.5,6,10,13,35,40,104,3,2,0,0,1,1,1,2,40.0,20.8,13.0
80,66.5,1,13,28,30,32,104,3,2,0,0,0,0,1,1,40.0,20.8,28.0
81,66.5,1,14,20,23,38,96,3,2,0,0,0,0,1,1,40.0,19.2,20.0
82,66.5,4,13,20,26,41,104,3,2,0,0,0,0,0,0,40.0,20.8,20.0
83,66.5,5,12,22,24,41,104,3,2,0,0,1,1,1,1,40.0,20.8,22.0
84,66.5,8,13,17,24,42,104,3,2,0,0,0,0,0,1,40.0,20.8,17.0
85,66.5,1,12,20,37,40,110,3,2,0,0,1,1,1,1,40.0,22.0,20.0
86,66.5,1,14,20,29,40,104,3,2,0,0,1,1,1,2,40.0,20.8,20.0
87,66.5,2,10,18,33,41,104,3,2,0,0,0,0,0,1,40.0,20.8,18.0
88,66.5,5,11,16,26,38,96,3,2,0,0,1,1,2,2,40.0,19.2,16.0
89,66.5,2,15,22,27,38,104,3,2,0,0,1,1,1,1,40.0,20.8,22.0
90,66.5,6,9,17,24,40,96,3,2,0,0,0,1,1,2,40.0,19.2,17.0
91,66.5,1,12,22,28,33,96,3,2,0,0,1,1,1,1,40.0,19.2,22.0
92,66.5,1,14,16,23,42,96,3,2,0,0,0,1,2,3,40.0,19.2,16.0
93,66.5,5,10,12,27,42,96,3,2,0,0,1,0,0,2,40.0,19.2,12.0
94,66.5,3,6,16,29,42,96,3,2,0,0,1,1,1,3,40.0,19.2,16.0
95,66.5,8,11,17,20,40,96,3,2,0,0,1,1,2,2,40.0,19.2,17.0
96,66.5,3,10,19,24,40,96,3,2,0,0,1,1,1,2,40.0,19.2,19.0
97,66.5,1,16,20,32,35,104,3,2,0,0,0,1,1,1,40.0,20.8,20.0
98,66.0,1,6,13,35,40,95,2,3,0,0,0,1,1,1,40.0,19.0,13.0
99,66.0,1,3,28,31,42,105,2,3,0,0,1,1,1,2,40.0,21.0,28.0
100,66.0,1,12,21,33,38,105,2,3,0,0,1,0,0,0,40.0,21.0,21.0
101,66.0,6,9,13,29,38,95,2,3,0,0,1,0,0,2,40.0,19.0,13.0
102,66.0,1,14,21,30,39,105,2,3,0,0,1,0,1,1,40.0,21.0,21.0
103,66.0,3,12,19,23,38,95,2,3,0,0,1,0,1,1,40.0,19.0,19.0
104,66.0,2,9,19,34,41,105,2,3,0,0,1,0,0,1,40.0,21.0,19.0
105,66.0,6,13,18,27,41,105,2,3,0,0,0,0,0,0,40.0,21.0,18.0
106,66.0,9,11,17,22,36,95,2,3,0,0,0,1,2,3,40.0,19.0,17.0
107,66.0,9,13,22,27,34,105,2,3,0,0,0,1,1,2,40.0,21.0,22.0
108,66.0,6,18,21,25,35,105,2,3,0,0,1,1,1,1,40.0,21.0,21.0
109,66.0,2,15,17,28,33,95,2,3,0,0,0,0,0,0,40.0,19.0,17.0
110,66.0,3,12,17,27,36,95,2,3,0,0,1,0,0,0,40.0,19.0,17.0
111,66.0,2,15,22,29,37,105,2,3,0,0,1,1,1,2,40.0,21.0,22.0
112,66.0,1,14,16,23,41,95,2,3,0,0,1,1,2,2,40.0,19.0,16.0
113,66.0,6,11,25,27,36,105,2,3,0,0,1,1,2,2,40.0,21.0,25.0
114,66.0,3,10,15,28,39,95,2,3,0,0,0,0,0,1,40.0,19.0,15.0
115,66.0,3,17,21,28,36,105,2,3,0,0,0,0,0,0,40.0,21.0,21.0
116,66.0,3,12,16,23,41,95,2,3,0,0,1,1,2,2,40.0,19.0,16.0
117,66.0,7,12,16,29,41,105,2,3,0,0,0,1,1,3,40.0,21.0,16.0
118,66.0,1,14,20,29,41,105,2,3,0,0,1,0,0,1,40.0,21.0,20.0
119,66.0,3,9,16,29,38,95,2,3,0,0,1,1,1,3,40.0,19.0,16.0
120,66.0,6,11,26,29,33,105,2,3,0,0,1,0,1,2,40.0,21.0,26.0
121,66.0,8,13,17,21,36,95,2,3,0,0,0,0,0,0,40.0,19.0,17.0
122,66.0,8,19,21,25,32,105,2,3,0,0,0,1,1,1,40.0,21.0,21.0
123,65.51,7,14,21,30,40,112,3,2,0,0,1,1,2,3,40.0,22.4,21.0
124,65.51,8,13,20,30,41,112,3,2,0,0,1,0,1,1,40.0,22.4,20.0
125,65.51,2,10,27,33,40,112,3,2,0,0,1,1,1,2,40.0,22.4,27.0
126,65.5,2,14,18,21,39,94,3,2,0,0,0,0,0,0,40.0,18.8,18.0
127,65.5,6,10,23,28,39,106,3,2,0,0,0,0,1,2,40.0,21.2,23.0
128,65.5,8,12,17,25,32,94,3,2,0,0,1,1,1,1,40.0,18.8,17.0
129,65.5,3,16,19,26,42,106,3,2,0,0,1,1,1,2,40.0,21.2,19.0
130,65.5,7,10,20,24,33,94,3,2,0,0,1,0,0,2,40.0,18.8,20.0
131,65.5,5,14,20,29,38,106,3,2,0,0,0,0,0,1,40.0,21.2,20.0
132,65.5,8,12,19,23,32,94,3,2,0,0,1,0,1,1,40.0,18.8,19.0
133,65.5,2,14,23,29,38,106,3,2,0,0,0,0,1,2,40.0,21.2,23.0
134,65.5,10,13,21,24,32,100,3,2,0,0,0,0,0,1,40.0,20.0,21.0
135,65.5,1,6,24,28,41,100,3,2,0,0,1,0,0,0,40.0,20.0,24.0
136,65.5,2,9,17,38,40,106,3,2,0,0,0,1,1,2,40.0,21.2,17.0
137,65.5,3,10,17,34,36,100,3,2,0,0,0,0,0,1,40.0,20.0,17.0
138,65.5,5,8,24,27,36,100,3,2,0,0,0,0,0,0,40.0,20.0,24.0
139,65.5,4,10,15,36,41,106,3,2,0,0,0,0,0,1,40.0,21.2,15.0
140,65.5,2,14,25,30,35,106,3,2,0,0,1,1,2,2,40.0,21.2,25.0
141,65.5,3,9,16,28,38,94,3,2,0,0,1,1,1,2,40.0,18.8,16.0
142,65.5,4,8,15,26,41,94,3,2,0,0,0,0,0,0,40.0,18.8,15.0
143,65.5,2,13,24,31,36,106,3,2,0,0,0,1,1,1,40.0,21.2,24.0
144,65.0,3,15,18,30,35,101,2,3,0,0,1,0,1,1,40.0,20.2,18.0
145,65.0,6,9,17,33,36,101,2,3,0,0,1,0,0,1,40.0,20.2,17.0
146,65.0,7,11,19,30,34,101,2,3,0,0,0,0,2,3,40.0,20.2,19.0
147,65.0,3,14,26,31,33,107,2,3,0,0,1,1,1,1,40.0,21.4,26.0
148,65.0,3,19,23,30,32,107,2,3,0,0,1,0,2,2,40.0,21.4,23.0
149,65.0,3,7,24,30,37,101,2,3,0,0,1,0,1,2,40.0,20.2,24.0
150,65.0,2,8,21,31,39,101,2,3,0,0,1,1,1,1,40.0,20.2,21.0
151,65.0,5,13,23,30,36,107,2,3,0,0,1,0,2,2,40.0,21.4,23.0
152,65.0,9,16,23,27,32,107,2,3,0,0,0,1,2,3,40.0,21.4,23.0
153,65.0,2,13,15,25,38,93,2,3,0,0,1,1,1,1,40.0,18.6,15.0
154,65.0,1,13,16,30,39,99,2,3,0,0,0,1,2,2,40.0,19.8,16.0
155,65.0,5,9,21,32,34,101,2,3,0,0,0,0,0,1,40.0,20.2,21.0
156,65.0,5,7,15,34,38,99,2,3,0,0,1,0,0,1,40.0,19.8,15.0
157,65.0,1,13,20,24,35,93,2,3,0,0,0,0,0,0,40.0,18.6,20.0
158,65.0,3,13,15,34,42,107,2,3,0,0,1,0,0,1,40.0,21.4,15.0
159,65.0,9,12,20,29,37,107,2,3,0,0,1,0,0,2,40.0,21.4,20.0
160,65.0,5,16,18,27,41,107,2,3,0,0,0,1,1,1,40.0,21.4,18.0
161,65.0,2,7,24,27,41,101,2,3,0,0,1,0,0,1,40.0,20.2,24.0
162,65.0,5,10,17,31,36,99,2,3,0,0,0,1,1,2,40.0,19.8,17.0
163,65.0,3,11,16,28,35,93,2,3,0,0,0,1,2,2,40.0,18.6,16.0
164,65.0,2,7,26,31,33,99,2,3,0,0,0,1,1,2,40.0,19.8,26.0
165,65.0,4,15,20,31,37,107,2,3,0,0,0,1,1,1,40.0,21.4,20.0
166,65.0,9,13,15,30,40,107,2,3,0,0,1,1,2,3,40.0,21.4,15.0
167,65.0,3,12,15,27,36,93,2,3,0,0,0,0,0,0,40.0,18.6,15.0
168,65.0,3,9,13,28,40,93,2,3,0,0,1,1,1,2,40.0,18.6,13.0
169,65.0,5,7,17,38,40,107,2,3,0,0,1,1,1,2,40.0,21.4,17.0
170,65.0,1,9,21,36,40,107,2,3,0,0,1,1,1,2,40.0,21.4,21.0
171,65.0,1,3,21,36,38,99,2,3,0,0,1,0,0,0,40.0,19.8,21.0
172,65.0,1,15,17,30,36,99,2,3,0,0,0,0,1,1,40.0,19.8,17.0
173,65.0,8,10,13,25,37,93,2,3,0,0,0,1,1,2,40.0,18.6,13.0
174,65.0,9,13,18,23,30,93,2,3,0,0,1,0,2,3,40.0,18.6,18.0
175,64.51,2,11,27,34,40,114,3,2,0,0,0,1,2,2,40.0,22.8,27.0
176,64.51,4,15,23,30,42,114,3,2,0,0,0,0,2,3,40.0,22.8,23.0
177,64.51,6,11,24,31,42,114,3,2,0,0,1,1,2,3,40.0,22.8,24.0
178,64.51,4,10,23,37,40,114,3,2,0,0,1,1,2,3,40.0,22.8,23.0
179,64.5,2,9,24,31,36,102,3,2,0,0,0,1,1,2,40.0,20.4,24.0
180,64.5,2,13,25,32,36,108,3,2,0,0,1,1,1,1,40.0,21.6,25.0
181,64.5,6,8,20,31,33,98,3,2,0,0,0,1,1,1,40.0,19.6,20.0
182,64.5,5,10,17,36,40,108,3,2,0,0,1,1,1,2,40.0,21.6,17.0
183,64.5,1,4,11,40,42,98,3,2,0,0,1,1,2,3,40.0,19.6,11.0
184,64.5,1,8,27,30,36,102,3,2,0,0,0,0,1,1,40.0,20.4,27.0
185,64.5,2,14,23,29,40,108,3,2,0,0,0,1,2,3,40.0,21.6,23.0
186,64.5,7,10,20,23,32,92,3,2,0,0,1,0,1,3,40.0,18.4,20.0
187,64.5,5,9,18,20,40,92,3,2,0,0,1,1,1,2,40.0,18.4,18.0
188,64.5,6,10,21,25,30,92,3,2,0,0,1,1,2,3,40.0,18.4,21.0
189,64.5,6,13,18,30,35,102,3,2,0,0,0,0,1,1,40.0,20.4,18.0
190,64.5,1,6,27,30,38,102,3,2,0,0,0,0,1,1,40.0,20.4,27.0
191,64.5,3,14,17,22,36,92,3,2,0,0,0,1,1,1,40.0,18.4,17.0
192,64.5,2,14,16,27,33,92,3,2,0,0,0,1,1,1,40.0,18.4,16.0
193,64.5,4,7,13,26,42,92,3,2,0,0,0,0,0,2,40.0,18.4,13.0
194,64.5,2,5,24,31,36,98,3,2,0,0,0,1,1,1,40.0,19.6,24.0
195,64.5,9,14,20,28,37,108,3,2,0,0,0,0,0,1,40.0,21.6,20.0
196,64.5,2,13,18,34,41,108,3,2,0,0,0,0,0,0,40.0,21.6,18.0
197,64.5,4,14,19,30,41,108,3,2,0,0,1,0,1,1,40.0,21.6,19.0
198,64.5,1,4,25,34,38,102,3,2,0,0,1,1,1,1,40.0,20.4,25.0
199,64.5,6,8,25,30,33,102,3,2,0,0,0,1,2,2,40.0,20.4,25.0
200,64.5,1,19,24,28,36,108,3,2,0,0,0,0,0,0,40.0,21.6,24.0
201,64.5,7,12,18,31,34,102,3,2,0,0,0,1,1,2,40.0,20.4,18.0
202,64.5,6,14,23,26,39,108,3,2,0,0,1,0,1,1,40.0,21.6,23.0
203,64.5,7,19,22,26,34,108,3,2,0,0,0,1,1,2,40.0,21.6,22.0
204,64.5,8,12,15,30,33,98,3,2,0,0,0,0,1,1,40.0,19.6,15.0
205,64.5,3,8,20,25,42,98,3,2,0,0,0,1,1,2,40.0,19.6,20.0
206,64.5,1,4,22,36,39,102,3,2,0,0,0,1,1,1,40.0,20.4,22.0
207,64.01,1,10,29,35,40,115,2,3,0,0,1,1,1,3,40.0,23.0,29.0
208,64.01,1,11,24,37,42,115,2,3,0,0,1,0,1,2,40.0,23.0,24.0
209,64.0,1,9,24,31,38,103,2,3,0,0,1,1,1,2,40.0,20.6,24.0
210,64.0,4,9,16,33,35,97,2,3,0,0,0,1,1,2,40.0,19.4,16.0
211,64.0,3,6,18,25,39,91,2,3,0,0,0,1,1,1,40.0,18.2,18.0
212,64.0,7,10,27,29,36,109,2,3,0,0,1,0,0,3,40.0,21.8,27.0
213,64.0,1,3,28,37,40,109,2,3,0,0,0,1,1,1,40.0,21.8,28.0
214,64.0,5,9,18,36,41,109,2,3,0,0,0,0,0,1,40.0,21.8,18.0
215,64.0,1,15,18,27,30,91,2,3,0,0,0,0,1,1,40.0,18.2,18.0
216,64.0,5,7,16,32,37,97,2,3,0,0,1,1,1,2,40.0,19.4,16.0
217,64.0,5,10,14,23,39,91,2,3,0,0,0,0,1,2,40.0,18.2,14.0
218,64.0,8,15,20,31,35,109,2,3,0,0,1,1,1,1,40.0,21.8,20.0
219,64.0,5,9,22,27,34,97,2,3,0,0,0,1,1,2,40.0,19.4,22.0
220,64.0,2,11,13,26,39,91,2,3,0,0,0,0,1,1,40.0,18.2,13.0
221,64.0,4,9,17,20,41,91,2,3,0,0,0,0,0,1,40.0,18.2,17.0
222,64.0,4,11,16,27,33,91,2,3,0,0,0,1,2,2,40.0,18.2,16.0
223,64.0,4,9,25,29,36,103,2,3,0,0,1,1,1,3,40.0,20.6,25.0
224,64.0,3,5,28,32,35,103,2,3,0,0,1,0,0,0,40.0,20.6,28.0
225,64.0,3,11,21,36,38,109,2,3,0,0,1,0,1,1,40.0,21.8,21.0
226,64.0,3,11,16,38,41,109,2,3,0,0,1,1,2,2,40.0,21.8,16.0
227,64.0,9,11,16,20,35,91,2,3,0,0,0,1,2,3,40.0,18.2,16.0
228,64.0,3,8,19,34,39,103,2,3,0,0,1,0,0,0,40.0,20.6,19.0
229,64.0,9,12,14,21,35,91,2,3,0,0,0,0,0,1,40.0,18.2,14.0
230,64.0,10,16,21,23,33,103,2,3,0,0,1,1,2,3,40.0,20.6,21.0
231,64.0,1,5,27,36,40,109,2,3,0,0,0,1,1,1,40.0,21.8,27.0
232,64.0,1,10,17,28,35,91,2,3,0,0,0,0,0,1,40.0,18.2,17.0
233,64.0,8,10,19,23,31,91,2,3,0,0,0,1,2,3,40.0,18.2,19.0
234,64.0,5,14,19,30,35,103,2,3,0,0,1,0,1,1,40.0,20.6,19.0
235,64.0,1,5,23,32,36,97,2,3,0,0,0,0,1,1,40.0,19.4,23.0
236,64.0,5,8,23,30,37,103,2,3,0,0,0,0,2,2,40.0,20.6,23.0
237,64.0,3,5,18,34,37,97,2,3,0,0,0,0,0,0,40.0,19.4,18.0
238,63.51,2,10,15,23,40,90,3,2,0,0,1,1,2,3,40.0,18.0,15.0
239,63.51,6,14,23,27,40,110,3,2,0,0,0,1,2,2,40.0,22.0,23.0
240,63.51,5,8,18,20,39,90,3,2,0,0,1,0,0,0,40.0,18.0,18.0
241,63.51,6,14,17,23,30,90,3,2,0,0,0,0,2,2,40.0,18.0,17.0
242,63.51,2,9,16,28,35,90,3,2,0,0,0,1,1,2,40.0,18.0,16.0
243,63.51,9,12,24,29,36,110,3,2,0,0,1,0,0,2,40.0,22.0,24.0
244,63.51,4,10,26,29,41,110,3,2,0,0,0,0,0,2,40.0,22.0,26.0
245,63.51,2,14,29,31,34,110,3,2,0,0,1,1,1,2,40.0,22.0,29.0
246,63.51,5,14,21,28,42,110,3,2,0,0,0,0,0,1,40.0,22.0,21.0
247,63.51,7,14,24,29,36,110,3,2,0,0,1,0,0,2,40.0,22.0,24.0
248,63.51,4,7,19,26,34,90,3,2,0,0,1,0,0,1,40.0,18.0,19.0
249,63.51,4,13,20,34,39,110,3,2,0,0,1,0,0,0,40.0,22.0,20.0
250,63.51,1,9,18,26,36,90,3,2,0,0,1,0,0,1,40.0,18.0,18.0
251,63.51,4,8,21,35,42,110,3,2,0,0,0,0,0,1,40.0,22.0,21.0
252,63.51,6,10,24,33,37,110,3,2,0,0,0,0,0,1,40.0,22.0,24.0
253,63.51,5,12,24,28,41,110,3,2,0,0,0,0,0,0,40.0,22.0,24.0
254,63.51,4,14,22,29,41,110,3,2,0,0,1,1,1,2,40.0,22.0,22.0
255,63.51,2,14,17,23,34,90,3,2,0,0,1,0,1,1,40.0,18.0,17.0
256,63.51,1,12,16,29,32,90,3,2,0,0,1,1,1,2,40.0,18.0,16.0
257,63.5,6,19,21,22,32,100,3,2,1,0,1,1,1,1,40.0,20.0,21.0
258,63.5,4,13,14,28,41,100,3,2,1,0,1,0,0,0,40.0,20.0,14.0
259,63.5,8,17,18,21,36,100,3,2,1,0,1,0,0,0,40.0,20.0,18.0
260,63.5,7,13,18,32,34,104,3,2,0,0,0,0,0,1,40.0,20.8,18.0
261,63.5,4,15,18,31,36,104,3,2,0,0,0,1,1,1,40.0,20.8,18.0
262,63.5,4,13,14,27,42,100,3,2,1,0,1,0,0,1,40.0,20.0,14.0
263,63.5,2,8,19,32,35,96,3,2,0,0,1,0,0,0,40.0,19.2,19.0
264,63.5,3,5,18,34,36,96,3,2,0,0,0,0,0,0,40.0,19.2,18.0
265,63.5,2,9,11,36,38,96,3,2,0,0,0,0,1,2,40.0,19.2,11.0
266,63.5,4,6,24,29,41,104,3,2,0,0,1,0,0,1,40.0,20.8,24.0
267,63.01,6,17,21,29,38,111,2,3,0,0,0,0,0,1,40.0,22.2,21.0
268,63.01,2,19,21,33,42,117,2,3,0,0,1,0,0,1,40.0,23.4,21.0
269,63.01,9,19,21,30,32,111,2,3,0,0,1,0,1,2,40.0,22.2,21.0
270,63.01,1,16,18,35,41,111,2,3,0,0,1,1,1,1,40.0,22.2,18.0
271,63.01,8,11,21,34,37,111,2,3,0,0,1,0,1,1,40.0,22.2,21.0
272,63.01,8,13,24,27,39,111,2,3,0,0,0,0,0,0,40.0,22.2,24.0
273,63.01,4,16,23,29,39,111,2,3,0,0,1,1,2,3,40.0,22.2,23.0
274,63.01,6,15,21,27,42,111,2,3,0,0,0,0,0,1,40.0,22.2,21.0
275,63.01,5,8,14,27,35,89,2,3,0,0,1,0,0,0,40.0,17.8,14.0
276,63.01,9,11,15,22,32,89,2,3,0,0,1,1,2,3,40.0,17.8,15.0
277,63.01,6,9,12,25,37,89,2,3,0,0,0,1,1,2,40.0,17.8,12.0
278,63.01,7,15,22,29,38,111,2,3,0,0,0,1,1,3,40.0,22.2,22.0
279,63.01,7,10,19,35,40,111,2,3,0,0,1,1,1,3,40.0,22.2,19.0
280,63.01,3,12,15,39,42,111,2,3,0,0,1,0,0,1,40.0,22.2,15.0
281,63.01,6,9,13,22,39,89,2,3,0,0,1,1,1,2,40.0,17.8,13.0
282,63.01,3,5,16,24,41,89,2,3,0,0,0,1,1,1,40.0,17.8,16.0
283,63.01,3,8,22,37,41,111,2,3,0,0,0,1,1,1,40.0,22.2,22.0
284,63.0,2,19,20,27,33,101,2,3,1,0,0,0,0,0,40.0,20.2,20.0
285,63.0,4,11,26,27,31,99,2,3,1,0,1,1,2,2,40.0,19.8,26.0
286,63.0,5,10,17,30,33,95,2,3,0,0,1,0,1,2,40.0,19.0,17.0
287,63.0,4,9,24,27,31,95,2,3,0,0,1,1,1,2,40.0,19.0,24.0
288,63.0,3,12,17,34,39,105,2,3,0,0,0,0,0,0,40.0,21.0,17.0
289,63.0,1,4,22,33,35,95,2,3,0,0,0,1,1,1,40.0,19.0,22.0
290,63.0,3,8,13,32,39,95,2,3,0,0,1,0,0,0,40.0,19.0,13.0
291,63.0,6,17,19,29,30,101,2,3,1,0,1,0,1,2,40.0,20.2,19.0
292,63.0,7,9,11,32,36,95,2,3,0,0,0,0,1,3,40.0,19.0,11.0
293,63.0,2,19,20,29,31,101,2,3,1,0,1,1,1,2,40.0,20.2,20.0
294,63.0,1,4,15,39,40,99,2,3,1,0,0,1,1,1,40.0,19.8,15.0
295,63.0,6,8,21,31,39,105,2,3,0,0,1,1,1,1,40.0,21.0,21.0
296,63.0,1,17,22,23,38,101,2,3,1,0,0,1,2,2,40.0,20.2,22.0
297,63.0,7,13,23,24,32,99,2,3,1,0,1,0,1,2,40.0,19.8,23.0
298,63.0,7,13,17,32,36,105,2,3,0,0,1,0,0,1,40.0,21.0,17.0
299,62.51,4,12,27,30,39,112,3,2,0,0,0,0,1,1,40.0,22.4,27.0
300,62.51,2,10,28,37,41,118,3,2,0,0,0,0,0,1,40.0,23.6,28.0
